catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Michigan,IHSP,2020-21,2020,18,0-4 yr,Overall,Overall,2.9,1.5,2020-04-29
Maryland,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,6.1,2.2,2020-04-29
Tennessee,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,1.8,0,2020-04-29
Georgia,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,0,0,2020-04-29
Connecticut,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,0,0,2020-04-29
Colorado,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,11.9,1.2,2020-04-29
California,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,2,0,2020-04-29
Oregon,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,2,0,2020-04-29
Ohio,IHSP,2020-21,2020,18,0-4 yr,Overall,Overall,0,0,2020-04-29
New York,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,2.7,0,2020-04-29
New Mexico,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,1.4,0,2020-04-29
Connecticut,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,0,0,2020-05-06
Georgia,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,0.4,0.4,2020-05-06
Iowa,IHSP,2020-21,2020,19,0-4 yr,Overall,Overall,24.3,12.1,2020-05-06
Tennessee,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,1.8,0,2020-05-06
Utah,IHSP,2020-21,2020,19,0-4 yr,Overall,Overall,0,0,2020-05-06
New Mexico,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,1.4,0,2020-05-06
Minnesota,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,1,0.5,2020-05-06
Michigan,IHSP,2020-21,2020,19,0-4 yr,Overall,Overall,2.9,0,2020-05-06
Maryland,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,6.1,0,2020-05-06
Ohio,IHSP,2020-21,2020,19,0-4 yr,Overall,Overall,2.2,2.2,2020-05-06
New York,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,2.7,0,2020-05-06
Oregon,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,2,0,2020-05-06
Colorado,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,13.1,1.2,2020-05-06
California,EIP,2020-21,2020,19,0-4 yr,Overall,Overall,2.5,0.5,2020-05-06
Iowa,IHSP,2020-21,2020,20,0-4 yr,Overall,Overall,24.3,0,2020-05-13
Utah,IHSP,2020-21,2020,20,0-4 yr,Overall,Overall,0,0,2020-05-13
Tennessee,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,1.8,0,2020-05-13
Oregon,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,2,0,2020-05-13
Ohio,IHSP,2020-21,2020,20,0-4 yr,Overall,Overall,3.6,1.4,2020-05-13
New York,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,2.7,0,2020-05-13
New Mexico,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,1.4,0,2020-05-13
Minnesota,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,1,0,2020-05-13
Michigan,IHSP,2020-21,2020,20,0-4 yr,Overall,Overall,2.9,0,2020-05-13
Maryland,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,8.3,2.2,2020-05-13
Georgia,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,0.4,0,2020-05-13
Connecticut,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,0,0,2020-05-13
Colorado,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,14.3,1.2,2020-05-13
California,EIP,2020-21,2020,20,0-4 yr,Overall,Overall,3,0.5,2020-05-13
Georgia,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,1.1,0.8,2020-05-20
California,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,3,0,2020-05-20
Colorado,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,15.5,1.2,2020-05-20
Connecticut,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,2,2,2020-05-20
Iowa,IHSP,2020-21,2020,21,0-4 yr,Overall,Overall,24.3,0,2020-05-20
Tennessee,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,2.7,0.9,2020-05-20
Utah,IHSP,2020-21,2020,21,0-4 yr,Overall,Overall,0,0,2020-05-20
Michigan,IHSP,2020-21,2020,21,0-4 yr,Overall,Overall,2.9,0,2020-05-20
Maryland,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,9.4,1.1,2020-05-20
New Mexico,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,2.8,1.4,2020-05-20
Minnesota,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,3,2,2020-05-20
Ohio,IHSP,2020-21,2020,21,0-4 yr,Overall,Overall,4.3,0.7,2020-05-20
New York,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,3.6,0.9,2020-05-20
Oregon,EIP,2020-21,2020,21,0-4 yr,Overall,Overall,2,0,2020-05-20
Tennessee,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,5.4,2.7,2020-05-27
Iowa,IHSP,2020-21,2020,22,0-4 yr,Overall,Overall,24.3,0,2020-05-27
Georgia,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,1.5,0.4,2020-05-27
Connecticut,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,2,0,2020-05-27
Colorado,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,15.5,0,2020-05-27
California,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,3.5,0.5,2020-05-27
Oregon,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,2,0,2020-05-27
Ohio,IHSP,2020-21,2020,22,0-4 yr,Overall,Overall,5,0.7,2020-05-27
New York,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,3.6,0,2020-05-27
New Mexico,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,2.8,0,2020-05-27
Minnesota,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,4,1,2020-05-27
Michigan,IHSP,2020-21,2020,22,0-4 yr,Overall,Overall,4.4,1.5,2020-05-27
Maryland,EIP,2020-21,2020,22,0-4 yr,Overall,Overall,10.5,1.1,2020-05-27
Utah,IHSP,2020-21,2020,22,0-4 yr,Overall,Overall,1.2,1.2,2020-05-27
Connecticut,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,2,0,2020-06-03
Georgia,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,2.3,0.8,2020-06-03
Colorado,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,16.1,0.6,2020-06-03
California,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,4,0.5,2020-06-03
Oregon,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,2,0,2020-06-03
Ohio,IHSP,2020-21,2020,23,0-4 yr,Overall,Overall,6.5,1.4,2020-06-03
Iowa,IHSP,2020-21,2020,23,0-4 yr,Overall,Overall,24.3,0,2020-06-03
Tennessee,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,6.3,0.9,2020-06-03
Utah,IHSP,2020-21,2020,23,0-4 yr,Overall,Overall,1.2,0,2020-06-03
Minnesota,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,6.5,2.5,2020-06-03
Michigan,IHSP,2020-21,2020,23,0-4 yr,Overall,Overall,4.4,0,2020-06-03
Maryland,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,11.6,1.1,2020-06-03
New York,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,3.6,0,2020-06-03
New Mexico,EIP,2020-21,2020,23,0-4 yr,Overall,Overall,2.8,0,2020-06-03
Iowa,IHSP,2020-21,2020,24,0-4 yr,Overall,Overall,24.3,0,2020-06-10
Utah,IHSP,2020-21,2020,24,0-4 yr,Overall,Overall,1.2,0,2020-06-10
New York,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,3.6,0,2020-06-10
New Mexico,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,4.2,1.4,2020-06-10
Minnesota,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,9.5,3,2020-06-10
Michigan,IHSP,2020-21,2020,24,0-4 yr,Overall,Overall,4.4,0,2020-06-10
